Source_Name	V_hand
G344.101-00.661	-26.28
G344.145-00.617	-23.61
G344.225-00.672	-24.04
G344.246-00.670	-23.15
G344.726-00.541	-33.17
G345.042-00.212	-27.68
G345.061-00.204	-26.25
G345.210-00.741	-24.03
G345.230-00.201	-15.61
G345.389-00.916	-21.45
G345.556+00.026	-16.38
G345.718+00.818	-11.03
G345.755-00.028	-14.17
G346.078-00.056	-84.49
G346.235-00.320	-10.49
G347.586+00.217	-95.28
G347.627+00.149	-94.43
G347.871+00.014	-31.10
G348.049+00.232	-0.31
G348.171+00.465	-6.50
G348.181+00.482	-6.09
G348.228+00.413	-7.13
G348.229-00.962	-14.42
G348.533-00.983	-13.85
G348.548-00.978	-15.45
G348.649+00.023	-73.91
G348.698-01.033	-12.63
G348.729-00.948	-12.95
G348.754-00.941	-12.66
G348.892-00.179	8.23
G349.119+00.093	-74.29
G349.176+00.128	-68.90
G349.181+00.064	-72.87
G349.773+00.020	-106.45
G349.995-00.554	-23.63
G350.014+00.434	-31.45
G350.101+00.083	-69.38
G350.111+00.092	-69.97
G350.271-00.500	-22.75
G350.341+00.141	-57.82
G350.618+00.673	-3.95
G350.720+00.048	-4.95
G350.763+00.793	-4.81
G350.783+00.800	-4.31
G351.137+00.766	-5.61
G351.157+00.701	-5.83
G351.179+00.634	-4.50
G351.184+00.581	-4.67
G351.251+00.652	-0.99
G351.289+00.664	-2.09
G351.378+00.668	-2.92
G351.380+00.707	-4.11
G351.416+00.648	-7.51
G351.443+00.659	-4.23
G351.463+00.681	-4.07
G351.468-00.459	-3.68
G351.468+00.590	-21.14
G351.513+00.701	-2.98
G351.613+00.164	-39.84
G351.743-00.577	-4.4
G351.775-00.537	-2.64
G351.783-00.606	-5.81
G351.786-00.513	-2.45
G351.787+00.212	-41.87
G351.805-00.448	-1.85
G352.060+00.603	1.27
G352.098+00.163	-58.08
G352.133-00.942	-12.66
G352.972+00.925	-4.16
G352.996+00.553	-2.75
G353.054+00.683	-3.93
G353.068+00.452	-0.38
G353.079+00.420	-0.72
G353.088+00.437	-2.25
G353.115+00.366	-1.73
G353.147+00.851	-8.74
G353.229+00.675	-3.25
G353.255+00.724	-5.79
G353.309-00.259	-15.78
G353.363-00.167	-80.88
G353.380-00.335	-18.08
G353.397-00.071	-49.51
G353.411-00.361	-16.85
G353.417-00.079	-48.89
G353.577+00.661	-1.40
G354.666-00.654	-3.04
G354.710+00.292	97.44
G354.724+00.301	100.17
G354.843+00.357	109.43
G354.945-00.539	-5.64
G355.344+00.148	14.43
G355.581+00.226	-85.31
G356.255-00.056	-5.15
G356.305-00.204	-7.73
G356.412+00.036	-7.01
G356.517+00.664	-0.55
G356.662-00.265	-52.30
G356.862-00.002	-8.26
G357.967-00.163	-3.56
G358.460-00.393	-2.55
G359.895-00.069	17.23
G359.944+00.152	15.34
