#Sourcename     n2hp_max    n2hp_num   hnc_max   hnc_num    hcop_max   hcop_num   hcn_max   hcn_num
G333.642-00.108    10.1828    40    8.10017    20    12.7381    58    6.25104    8
G333.658+00.059    10.8718    28    8.19583    30    7.0711    18    5.08939    1
G333.677-00.437    2.95116    0    4.11025    0    4.66879    0    5.37067    3
G333.759+00.363    9.06199    52    8.22661    19    10.5132    72    8.22308    46
G334.043+00.350    10.4083    21    10.4814    25    9.34066    29    11.9664    52
G334.198-00.202    13.5161    76    9.70207    58    6.53578    6    5.07676    1
G334.699+00.019    6.01503    7    5.64551    2    6.18479    13    4.25863    0
G335.061-00.426    15.5977    54    8.36518    21    2.86492    0    4.43256    0
G335.212-00.070    5.49196    1    5.31648    1    5.44064    2    3.84564    0
G335.221-00.345    16.8392    53    6.03705    8    6.69736    10    6.449    7
G335.234-00.318    13.5645    71    9.06427    59    4.41504    0    7.70799    29
G335.284-00.134    22.6535    69    18.0898    86    16.3721    94    10.5793    35
G335.391-00.290    4.04679    0    4.07485    0    4.59548    0    2.84272    0
G335.427-00.239    22.6736    87    8.80414    37    7.46422    10    5.77611    2
G335.461-00.235    12.1384    50    6.00984    4    4.44581    0    5.63963    2
G335.591+00.184    7.63218    15    9.19669    26    14.5595    70    10.0885    37
G335.693+00.202    22.7551    49    18.7412    71    26.7846    90    20.389    86
G335.709-00.347    3.73713    0    4.11013    0    3.61644    0    4.97774    0
G335.790+00.174    45.9244    87    30.0711    89    45.7147    98    33.9328    95
G336.019-00.813    55.3187    95    28.432    99    43.7979    99    29.5174    99
G336.354-00.037    12.7738    36    7.43102    13    11.5155    46    8.51796    30
G336.367-00.004    27.8091    95    20.7392    95    31.2633    99    18.5654    93
G336.411-00.255    29.7004    83    22.7295    91    28.8611    93    26.2944    99
G336.441-00.259    9.98931    23    6.50559    19    12.235    49    8.99634    51
G336.496-00.260    4.74713    0    3.90118    0    6.84897    9    8.43908    27
G336.632+00.079    6.13617    3    4.32078    0    3.80012    0    4.43122    0
G336.755-00.220    6.94206    4    5.60151    2    4.1731    0    9.61057    51
G336.823+00.027    24.0705    40    21.0667    74    30.391    86    32.6102    92
G336.915-00.023    4.75192    0    3.75192    0    11.4685    39    3.64339    0
G336.957-00.224    17.0007    38    12.4829    47    14.5213    90    14.6037    88
G336.981+00.445    4.55344    0    4.9899    0    6.03    8    4.49865    0
G336.983-00.005    25.964    66    10.4896    40    7.10035    13    7.15279    24
G336.983-00.183    8.49587    10    10.6155    33    20.4451    71    21.7066    80
G337.004+00.323    14.2648    25    11.9627    36    19.1216    56    18.3094    63
G337.132-00.378    17.6702    95    12.9675    90    7.89372    39    5.95929    7
G337.151-00.061    13.1192    29    10.1586    59    11.039    48    8.55634    54
G337.158-00.394    8.59314    3    5.55584    4    6.5912    6    5.43207    1
G337.174-00.059    7.80743    10    8.6074    16    14.3725    74    7.54606    33
G337.192+00.010    11.4847    35    7.2475    14    10.7508    58    6.60484    27
G337.205-00.069    17.4253    65    9.57909    88    15.0547    100    10.3557    96
G337.258-00.101    16.6195    55    14.5362    76    15.5589    98    9.40049    74
G337.287+00.009    6.16112    8    4.17834    0    5.42102    1    3.98661    0
G337.370-00.398    12.404    52    10.3044    52    5.90541    3    8.65626    21
G337.406-00.402    39.2821    97    47.4348    100    27.7208    95    37.6658    100
G337.439-00.399    39.086    94    23.7773    94    16.5746    78    18.5251    60
G337.633-00.079    12.5542    19    12.8823    62    14.726    87    17.2832    87
G337.671-00.192    15.1853    36    10.0983    34    9.3104    35    8.3471    19
G337.714+00.086    17.6131    48    21.5736    56    26.8823    81    29.4287    79
G337.764-00.338    39.957    98    20.3876    98    11.5788    71    11.6639    63
G337.845-00.376    16.6633    70    15.7746    80    10.3782    67    14.3792    64
G337.865-00.275    1.93034    0    3.70697    0    2.53725    0    3.13733    0
G337.918-00.455    53.5672    97    36.8933    96    22.6234    70    32.7262    88
